expected_file,expected_size_bytes,generated_candidate_count,covered,text_file,canonical_match_any_candidate,byte_match_any_candidate
NO2_1yrAK_PVMRM_MAXDCONT_all_h8h_thresh188.out,10951,1,True,True,True,False
olm.out,47538,1,True,True,True,False
OLM.SUM,28482,1,True,True,True,False
OLM_ERRORS.OUT,172794,1,True,True,True,False
olmgrp.out,48801,1,True,True,True,False
OLMGRP.SUM,28485,1,True,True,True,False
OLMGRP_ERRORS.OUT,172794,1,True,True,True,False
openpits.out,101180,1,True,True,True,False
OPENPITS.SUM,23844,1,True,True,True,False
OPENPITS_ERRORS.OUT,939,1,True,True,True,False
pm10_1986.sav,29436,2,True,False,False,False
pm10_1987.sav,29436,2,True,False,False,False
pm10_1988.sav,29436,2,True,False,False,False
pm10_1989.sav,29436,2,True,False,False,False
pm10_1990.sav,29436,2,True,False,False,False
psdcred.out,64679,1,True,True,True,False
PSDCRED.SUM,23639,1,True,True,True,False
PSDCRED_ERRORS.OUT,172794,1,True,True,True,False
pvmrm.out,31209,1,True,True,True,False
PVMRM.SUM,19659,1,True,True,True,False
PVMRM_ERRORS.OUT,172794,1,True,True,True,False
scimtest.out,47632,1,True,True,False,False
SCIMTEST.SUM,20988,1,True,True,False,False
SCIMTEST_ERRORS.OUT,576924,1,True,True,True,False
SEAHRST1.DAT,367024,1,True,True,True,False
SEAHRST2.DAT,367024,1,True,True,True,False
SEAHRST3.DAT,367024,1,True,True,True,False
SEAHRST4.DAT,367024,1,True,True,True,False
SEAHRST5.DAT,367024,1,True,True,True,False
SEAHRST6.DAT,367024,1,True,True,True,False
surfcoal.out,414895,1,True,True,True,False
SURFCOAL.SUM,32339,1,True,True,True,False
SURFCOAL_ERRORS.OUT,2934,1,True,True,True,False
Test1_Base_cart_3cond_SNC.out,50212,1,True,True,True,False
Test1_Base_cart_3cond_SNC_ERRORS.out,844,1,True,True,True,False
Test20_Urban_cart_3cond_SNC.out,51367,1,True,True,True,False
Test20_Urban_cart_3cond_SNC_ERRORS.OUT,844,1,True,True,True,False
Test3_Bar_cart_3cond_SNC_bar_ERRORS.OUT,844,1,True,True,True,False
Test3_Base_cart_3cond_SNC_bar.out,51113,1,True,False,False,False
Test4_Base_cart_3cond_SNC_dep.out,50984,1,True,True,True,False
Test4_Base_cart_3cond_SNC_dep_ERRORS.OUT,844,1,True,True,True,False
testgas.out,132138,1,True,True,True,False
TESTGAS.SUM,14648,1,True,True,True,False
testgas2.out,581117,1,True,True,True,False
TESTGAS2.SUM,146814,1,True,True,True,False
TESTGAS2_ERRORS.OUT,328594,1,True,True,True,False
TESTGAS_ERRORS.OUT,654,1,True,True,True,False
testpart.out,131929,1,True,True,True,False
TESTPART.SUM,14648,1,True,True,True,False
TESTPART_ERRORS.OUT,654,1,True,True,True,False
testpm10.out,86410,1,True,True,False,False
TESTPM10.SUM,48200,1,True,True,False,False
testpm10_1986.out,30156,2,True,True,False,False
TESTPM10_1986.SUM,16307,2,True,True,False,False
TESTPM10_1986_ERRORS.OUT,87199,2,True,True,True,False
testpm10_1987.out,30366,2,True,True,False,False
TESTPM10_1987.SUM,16492,2,True,True,False,False
TESTPM10_1987_ERRORS.OUT,216779,2,True,True,True,False
