pathway,keyword,dispatch_file,dispatcher_lines,handler,handler_file,handler_lines,fixture_occurrences,fixture_files,examples,evidence_status
SO,BGSECTOR,soset.f,531-542,BGSECTOR,soset.f,7921-8029,0,0,,source-manual-no-current-fixture
SO,RBARRIER,soset.f,543-578,RLINEBAR_INPUTS,soset.f,8416-8528,2,2,inputs/Test3_Base_cart_3cond_SNC_bar.inp:26;inputs/allsrcs.inp:105,source-manual-fixture
SO,SBARRIER,soset.f,579-600,SBARRIER_INPUTS,soset.f,8795-8939,0,0,,source-manual-no-current-fixture
SO,VBARRIER,soset.f,601-619,VBARRIER_INPUTS,soset.f,8529-8731,0,0,,source-manual-no-current-fixture
SO,RDEPRESS,soset.f,620-653,RLINEDPR_INPUTS,soset.f,9597-9700,2,2,inputs/Test4_Base_cart_3cond_SNC_dep.inp:26;inputs/allsrcs.inp:110,source-manual-fixture
SO,BLPINPUT,soset.f,654-664,BL_AVGINP,soset.f,8030-8254,6,5,inputs/aermod-baldwin45.inp:27;inputs/aermod-baldwinHoriz.inp:27;inputs/aermod-baldwinVert.inp:27;inputs/allsrcs.inp:100,source-manual-fixture
SO,BLPGROUP,soset.f,665-678,BLPGRP,soset.f,7227-7432,2,1,inputs/blp_urban.inp:37;inputs/blp_urban.inp:38,source-manual-fixture
SO,ARCFTSRC,soset.f,679-703,AIRCRAFT,soset.f,9701-9793,0,0,,source-manual-no-current-fixture
SO,HBPSRCID,soset.f,704-726,HBPSOURCE,soset.f,6695-6805,0,0,,source-manual-no-current-fixture
SO,FINISHED,soset.f,727-1008,SOCARD,soset.f,1-1008,53,53,inputs/Test1_Base_cart_3cond_SNC.inp:24;inputs/Test20_Urban_cart_3cond_SNC.inp:25;inputs/Test3_Base_cart_3cond_SNC_bar.inp:29;inputs/Test4_Base_cart_3cond_SNC_dep.inp:29,source-manual-fixture
RE,STARTING,reset.f,32-63,RECARD,reset.f,1-207,53,53,inputs/Test1_Base_cart_3cond_SNC.inp:26;inputs/Test20_Urban_cart_3cond_SNC.inp:27;inputs/Test3_Base_cart_3cond_SNC_bar.inp:31;inputs/Test4_Base_cart_3cond_SNC_dep.inp:31,source-manual-fixture
RE,GRIDCART,reset.f,64-68,RECART,reset.f,258-470,20,9,inputs/Test1_Base_cart_3cond_SNC.inp:28;inputs/Test1_Base_cart_3cond_SNC.inp:30;inputs/Test20_Urban_cart_3cond_SNC.inp:29;inputs/Test20_Urban_cart_3cond_SNC.inp:31,source-manual-fixture
RE,GRIDPOLR,reset.f,69-73,REPOLR,reset.f,836-1077,106,38,inputs/aertest.inp:55;inputs/aertest.inp:59;inputs/allsrcs.inp:137;inputs/allsrcs.inp:141,source-manual-fixture
RE,DISCCART,reset.f,74-78,DISCAR,reset.f,1818-1988,121,6,inputs/allsrcs.inp:150;inputs/lovett_rec.dat:11;inputs/lovett_rec.dat:12;inputs/lovett_rec.dat:13,source-manual-fixture
RE,DISCPOLR,reset.f,79-83,DISPOL,reset.f,1989-2186,1,1,inputs/allsrcs.inp:148,source-manual-fixture
RE,EVALCART,reset.f,84-93,EVCART,reset.f,2244-2379,361,2,inputs/allsrcs.inp:152;inputs/in_urban.inp:32;inputs/in_urban.inp:33;inputs/in_urban.inp:34,source-manual-fixture
RE,ELEVUNIT,reset.f,94-108,REELUN,reset.f,208-257,7,7,inputs/Test1_Base_cart_3cond_SNC.inp:27;inputs/Test20_Urban_cart_3cond_SNC.inp:28;inputs/Test3_Base_cart_3cond_SNC_bar.inp:32;inputs/Test4_Base_cart_3cond_SNC_dep.inp:32,source-manual-fixture
RE,INCLUDED,reset.f,109-117,INCLUD,setup.f,1874-1910,3,3,inputs/flatelev.inp:26;inputs/lovett.inp:23;inputs/multurb.inp:26,source-manual-fixture
RE,FINISHED,reset.f,118-207,RECARD,reset.f,1-207,53,53,inputs/Test1_Base_cart_3cond_SNC.inp:31;inputs/Test20_Urban_cart_3cond_SNC.inp:32;inputs/Test3_Base_cart_3cond_SNC_bar.inp:36;inputs/Test4_Base_cart_3cond_SNC_dep.inp:36,source-manual-fixture
