pathway,keyword,dispatch_file,dispatch_routine,branch_start_line,branch_end_line,called_routines,handler_candidates,evidence_status
SO,OLMGROUP,soset.f,SOCARD,473,489,ERRHDL;OLMGRP,OLMGRP,confirmed-source
SO,PSDGROUP,soset.f,SOCARD,490,501,PSDGRP;ERRHDL,PSDGRP,confirmed-source
SO,BACKGRND,soset.f,SOCARD,502,513,ERRHDL;BACK_GRND,BACK_GRND,confirmed-source
SO,BACKUNIT,soset.f,SOCARD,514,530,ERRHDL;BACK_UNIT,BACK_UNIT,confirmed-source
SO,BGSECTOR,soset.f,SOCARD,531,542,ERRHDL;BGSECTOR,BGSECTOR,confirmed-source
SO,RBARRIER,soset.f,SOCARD,543,578,RLINEBAR_INPUTS;ERRHDL,RLINEBAR_INPUTS,confirmed-source
SO,SBARRIER,soset.f,SOCARD,579,600,SBARRIER_INPUTS;ERRHDL,SBARRIER_INPUTS,confirmed-source
SO,RDEPRESS,soset.f,SOCARD,620,653,RLINEDPR_INPUTS;ERRHDL,RLINEDPR_INPUTS,confirmed-source
SO,BLPINPUT,soset.f,SOCARD,654,664,BL_AVGINP,BL_AVGINP,confirmed-source
SO,BLPGROUP,soset.f,SOCARD,665,678,BLPGRP,BLPGRP,confirmed-source
SO,ARCFTSRC,soset.f,SOCARD,679,703,ERRHDL;AIRCRAFT,AIRCRAFT,confirmed-source
SO,HBPSRCID,soset.f,SOCARD,704,726,ERRHDL;HBPSOURCE,HBPSOURCE,confirmed-source
RE,GRIDCART,reset.f,RECARD,64,68,RECART,RECART,confirmed-source
RE,GRIDPOLR,reset.f,RECARD,69,73,REPOLR,REPOLR,confirmed-source
RE,DISCCART,reset.f,RECARD,74,78,DISCAR,DISCAR,confirmed-source
RE,DISCPOLR,reset.f,RECARD,79,83,DISPOL,DISPOL,confirmed-source
RE,EVALCART,reset.f,RECARD,84,93,ERRHDL;EVCART,EVCART,confirmed-source
RE,ELEVUNIT,reset.f,RECARD,94,108,ERRHDL;REELUN,REELUN,confirmed-source
RE,INCLUDED,reset.f,RECARD,109,117,INCLUD,INCLUD,confirmed-source
ME,SURFFILE,meset.f,MECARD,57,67,ERRHDL;SURFIL,SURFIL,confirmed-source
ME,PROFFILE,meset.f,MECARD,68,78,ERRHDL;PROFIL,PROFIL,confirmed-source
ME,SURFDATA,meset.f,MECARD,79,89,ERRHDL;SFDATA,SFDATA,confirmed-source
ME,UAIRDATA,meset.f,MECARD,90,100,ERRHDL;UADATA,UADATA,confirmed-source
ME,STARTEND,meset.f,MECARD,101,116,ERRHDL;STAEND,STAEND,confirmed-source
ME,DAYRANGE,meset.f,MECARD,117,133,ERRHDL;DAYRNG,DAYRNG,confirmed-source
